"Tipo Prueba";"Fecha Asignacion";"Cantidad de intentos";"Porcentaje aprobacion";intento;"Fecha Realizada";"Tiempo Prueba";"Resultado prueba";Descripcion;Pregunta;"Respuesta usuario";"Resultado pregunta";"Respuesta correcta";"tiempo en la pregunta";"Cantidad de movimientos en la respuesta"
Prueba;2018-12-13;1;90;;;;;;;;;;;
;;;;1;2018-12-13;00:10:00;Aprobo;;;;;;;
"Politicas Internas de Calidad - Sac, Saro, Sarlaft y Circulares Financieras";2018-12-13;1;90;;;;;;;;;;;
;;;;1;2018-12-13;00:30:00;Reprobo;;;;;;;
