"Tipo Prueba";"Numero de preguntas";"Total de pruebas realizadas";"Cantidad de usuarios asignados";"Cantidad de usuarios que aprobaron";"Cantidad de usuarios que reprobaron";"Cantidad de usuarios que no han realizado";"Promedio de intentos por prueba";"Maximo de intentos";"Minimo de intentos"
"Politicas de Calidad, Sac, Saro y Sarlaft - Circulares Financieras";15;5;2;0;2;0;2;3;1
"Politicas de Calidad, Sac, Saro y Sarlaft - Circulares Financieras";15;5;2;0;2;0;2;3;1
"Politicas de Calidad, Sac, Saro y Sarlaft - Circulares Financieras";15;5;2;0;2;0;2;3;1
"Politicas de Calidad, Sac, Saro y Sarlaft - Circulares Financieras";15;5;2;0;2;0;2;3;1
